epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,231.706,1.60639,2.01684,1.72436,0.62507,0.62149,0.65274,0.39263,1.4099,1.51507,1.68269,0.000321195,0.000321195,0.000321195
57,234.675,1.64555,2.09597,1.65705,0.60633,0.63283,0.67595,0.40888,1.34343,1.52651,1.64561,0.000316344,0.000316344,0.000316344
58,237.805,1.63472,1.96139,1.69556,0.64901,0.62654,0.68357,0.42722,1.33228,1.52469,1.63264,0.000311493,0.000311493,0.000311493
59,241.498,1.51444,1.79643,1.62857,0.69397,0.62742,0.6983,0.42329,1.39445,1.51086,1.68947,0.000306642,0.000306642,0.000306642
60,246.092,1.5557,1.85474,1.63837,0.7227,0.65728,0.72139,0.45333,1.3227,1.38513,1.63542,0.000301791,0.000301791,0.000301791
61,255.217,1.48206,1.78665,1.60051,0.64887,0.67631,0.71792,0.44847,1.2978,1.38989,1.61629,0.00029694,0.00029694,0.00029694
62,264.168,1.49446,1.81248,1.63447,0.6652,0.65854,0.70942,0.44929,1.27906,1.38663,1.59908,0.000292089,0.000292089,0.000292089
63,273.527,1.51009,1.88586,1.63958,0.67155,0.64913,0.71996,0.44697,1.35732,1.39762,1.62598,0.000287238,0.000287238,0.000287238
64,283.538,1.50021,1.75058,1.62733,0.68505,0.6511,0.72449,0.4518,1.38809,1.4046,1.64072,0.000282387,0.000282387,0.000282387
65,292.363,1.49551,1.72478,1.5965,0.70701,0.66474,0.74144,0.46709,1.34774,1.40623,1.61984,0.000277536,0.000277536,0.000277536
66,297.032,1.50343,1.63502,1.5492,0.69694,0.67211,0.75388,0.48097,1.35453,1.37483,1.63059,0.000272685,0.000272685,0.000272685
67,299.813,1.54381,1.80695,1.64742,0.68513,0.70834,0.76473,0.48805,1.36766,1.34205,1.63986,0.000267834,0.000267834,0.000267834
68,302.585,1.57104,1.8078,1.64735,0.69192,0.72346,0.76023,0.48422,1.37696,1.2837,1.65019,0.000262983,0.000262983,0.000262983
69,305.483,1.5161,1.73256,1.63119,0.66249,0.72539,0.76373,0.47701,1.42397,1.27209,1.67274,0.000258132,0.000258132,0.000258132
70,308.324,1.55185,1.81824,1.63996,0.6941,0.71494,0.77427,0.48673,1.42553,1.28355,1.65692,0.000253281,0.000253281,0.000253281
71,311.187,1.52799,1.77957,1.61831,0.708,0.73469,0.77729,0.51262,1.31115,1.2903,1.58997,0.00024843,0.00024843,0.00024843
72,317.668,1.52525,1.61994,1.59841,0.76142,0.70216,0.77521,0.50949,1.27418,1.28893,1.55743,0.000243579,0.000243579,0.000243579
73,325.284,1.57381,1.95601,1.69482,0.75207,0.69525,0.78453,0.51611,1.28819,1.47176,1.55327,0.000238728,0.000238728,0.000238728
74,334.135,1.41702,1.63681,1.5679,0.73117,0.71642,0.78695,0.51056,1.33645,1.45228,1.5978,0.000233877,0.000233877,0.000233877
75,342.476,1.47778,1.77818,1.5777,0.73763,0.73707,0.79017,0.4908,1.39362,1.30629,1.64138,0.000229026,0.000229026,0.000229026
76,349.842,1.48045,1.66344,1.5999,0.74572,0.75102,0.80365,0.53504,1.22999,1.17703,1.52065,0.000224175,0.000224175,0.000224175
77,357.966,1.4194,1.61797,1.53642,0.75543,0.75367,0.8116,0.55798,1.17855,1.16716,1.48562,0.000219324,0.000219324,0.000219324
78,365.703,1.46206,1.66052,1.52094,0.85637,0.70377,0.81344,0.56449,1.11645,1.20871,1.46296,0.000214473,0.000214473,0.000214473
79,371.756,1.43758,1.78028,1.52681,0.80426,0.71836,0.80524,0.55268,1.10647,1.22286,1.46088,0.000209622,0.000209622,0.000209622
80,377.681,1.41799,1.70597,1.54846,0.73536,0.75425,0.81232,0.56088,1.10618,1.18094,1.45369,0.000204771,0.000204771,0.000204771
81,386.788,1.38552,1.58865,1.50409,0.84382,0.74377,0.82145,0.57032,1.11477,1.13861,1.44568,0.00019992,0.00019992,0.00019992
82,395.695,1.34639,1.52117,1.46019,0.83925,0.7533,0.82837,0.57681,1.11681,1.10637,1.44798,0.000195069,0.000195069,0.000195069
83,405.019,1.44235,1.59826,1.60914,0.87327,0.75369,0.84565,0.60279,1.07989,1.03491,1.42063,0.000190218,0.000190218,0.000190218
84,413.618,1.3919,1.55132,1.48535,0.83935,0.76899,0.84459,0.60385,1.07764,1.0296,1.42171,0.000185367,0.000185367,0.000185367
85,418.363,1.29276,1.46997,1.46843,0.84397,0.77993,0.84799,0.6092,1.07277,1.03221,1.42025,0.000180516,0.000180516,0.000180516
86,425.415,1.29213,1.40417,1.42025,0.82255,0.79758,0.85103,0.62703,1.03006,1.0359,1.39337,0.000175665,0.000175665,0.000175665
87,434.973,1.33003,1.46352,1.44053,0.81508,0.788,0.85005,0.62924,1.00867,1.0194,1.37593,0.000170814,0.000170814,0.000170814
88,443.78,1.36504,1.50353,1.51546,0.7902,0.83135,0.84934,0.62818,1.00502,0.99974,1.37655,0.000165963,0.000165963,0.000165963
89,452.653,1.38174,1.66537,1.57478,0.81591,0.81065,0.85118,0.63648,1.00418,0.9491,1.36935,0.000161112,0.000161112,0.000161112
90,460.442,1.28828,1.41581,1.43547,0.83449,0.8049,0.85845,0.6425,1.00117,0.93793,1.36488,0.000156261,0.000156261,0.000156261
91,468.765,1.34063,1.49174,1.5211,0.85602,0.81842,0.8743,0.6422,1.0052,0.93392,1.36517,0.00015141,0.00015141,0.00015141
92,478.762,1.31372,1.46957,1.47534,0.88482,0.79155,0.87368,0.63869,1.00884,0.93551,1.36566,0.000146559,0.000146559,0.000146559
93,487.553,1.31201,1.45733,1.44844,0.83728,0.83329,0.87396,0.63457,1.00536,0.92499,1.36372,0.000141708,0.000141708,0.000141708
94,495.661,1.37095,1.57918,1.45581,0.83992,0.82988,0.88885,0.65292,0.98105,0.89315,1.34023,0.000136857,0.000136857,0.000136857
95,505.44,1.3403,1.60878,1.51548,0.8138,0.85944,0.88766,0.65184,0.98599,0.90701,1.33861,0.000132006,0.000132006,0.000132006
96,514.073,1.25242,1.37268,1.3767,0.85477,0.81407,0.88825,0.65657,0.97725,0.90489,1.33168,0.000127155,0.000127155,0.000127155
97,524.251,1.22458,1.39191,1.44836,0.84372,0.81698,0.88447,0.66429,0.94299,0.88818,1.31437,0.000122304,0.000122304,0.000122304
98,534,1.22484,1.3658,1.39327,0.82885,0.82156,0.88205,0.66077,0.9417,0.88983,1.31727,0.000117453,0.000117453,0.000117453
99,545.713,1.31404,1.49305,1.47471,0.78264,0.85438,0.88185,0.65648,0.93158,0.8984,1.31471,0.000112602,0.000112602,0.000112602
100,552.533,1.19233,2.09096,1.29165,0.81079,0.8707,0.88479,0.6649,0.9237,0.90671,1.31114,0.000107751,0.000107751,0.000107751
101,555.396,1.28475,1.39567,1.42953,0.83853,0.8671,0.87853,0.66121,0.92947,0.91312,1.31604,0.0001029,0.0001029,0.0001029
102,558.246,1.30307,1.42196,1.43366,0.84511,0.86575,0.87982,0.66593,0.92976,0.91069,1.31534,9.8049e-05,9.8049e-05,9.8049e-05
